JammesDean,33,0,0,0,0,0,0,0,0,0,0,0,33
Mikev7777,27,0,0,0,0,0,0,0,0,0,0,0,27
James Lee 910214,24,0,0,0,0,0,0,0,0,0,0,0,24
Norimsoo,23,0,0,0,0,0,0,0,0,0,0,0,23
mstaten,22,0,0,0,0,0,0,0,0,0,0,0,22
elk,21,0,0,0,0,0,0,0,0,0,0,0,21
Pharaoh Silver,21,0,0,0,0,0,0,0,0,0,0,0,21
rap2,20,0,0,0,0,0,0,0,0,0,0,0,20
ReM,19,0,0,0,0,0,0,0,0,0,0,0,19
Tonyov,19,0,0,0,0,0,0,0,0,0,0,0,19
Wyldeknite77,18,0,0,0,0,0,0,0,0,0,0,0,18
SleepiusMaximus,18,0,0,0,0,0,0,0,0,0,0,0,18
Medrod,17,0,0,0,0,0,0,0,0,0,0,0,17
Sateenkaari,17,0,0,0,0,0,0,0,0,0,0,0,17
BrandonO,16,0,0,0,0,0,0,0,0,0,0,0,16
mooooonique,16,0,0,0,0,0,0,0,0,0,0,0,16
dheny,11,0,0,0,0,0,0,0,0,0,0,0,11
Cheery Dog,10,0,0,0,0,0,0,0,0,0,0,0,10
joepunman,10,0,0,0,0,0,0,0,0,0,0,0,10
javimuzzic,9,0,0,0,0,0,0,0,0,0,0,0,9
andy2003s,9,0,0,0,0,0,0,0,0,0,0,0,9
gobruno,8,0,0,0,0,0,0,0,0,0,0,0,8
andycupid,8,0,0,0,0,0,0,0,0,0,0,0,8
Danulas,6,0,0,0,0,0,0,0,0,0,0,0,6
massinho20,6,0,0,0,0,0,0,0,0,0,0,0,6
vurtan,6,0,0,0,0,0,0,0,0,0,0,0,6
AshleyShea,6,0,0,0,0,0,0,0,0,0,0,0,6
havensand,5,0,0,0,0,0,0,0,0,0,0,0,5
moehawk,4,0,0,0,0,0,0,0,0,0,0,0,4
stopherjones,4,0,0,0,0,0,0,0,0,0,0,0,4
GeckoWarlock,3,0,0,0,0,0,0,0,0,0,0,0,3
MissAshtasa,3,0,0,0,0,0,0,0,0,0,0,0,3
Athena108,3,0,0,0,0,0,0,0,0,0,0,0,3
waltss,1,0,0,0,0,0,0,0,0,0,0,0,1
Fixelled,1,0,0,0,0,0,0,0,0,0,0,0,1
sd77,1,0,0,0,0,0,0,0,0,0,0,0,1
PentaCruz,0,0,0,0,0,0,0,0,0,0,0,0,0
zach315,0,0,0,0,0,0,0,0,0,0,0,0,0
